Cote;No de plan;Dates;Fichier en haute résolution (cliquer sur le lien);;Mention de crédits
VM165-1_1;52-40 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-40.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-40.jpg;Archives de la Ville de Montréal
VM165-1_1;52-44 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-44.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-44.jpg;Archives de la Ville de Montréal
VM165-1_1;52-48 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-48.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-48.jpg;Archives de la Ville de Montréal
VM165-1_1;52-52 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-52.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-52.jpg;Archives de la Ville de Montréal
VM165-1_1;52-56 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-56.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-56.jpg;Archives de la Ville de Montréal
VM165-1_1;52-60 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-60.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-60.jpg;Archives de la Ville de Montréal
VM165-1_1;52-64 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-64.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-64.jpg;Archives de la Ville de Montréal
VM165-1_1;52-68 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-68.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-68.jpg;Archives de la Ville de Montréal
VM165-1_1;52-72 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-72.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-72.jpg;Archives de la Ville de Montréal
VM165-1_1;52-76 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-76.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-76.jpg;Archives de la Ville de Montréal
VM165-1_1;56-40 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/56-40.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/56-40.jpg;Archives de la Ville de Montréal
VM165-1_1;56-44 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/56-44.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/56-44.jpg;Archives de la Ville de Montréal
VM165-1_1;56-48 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/56-48.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/56-48.jpg;Archives de la Ville de Montréal
VM165-1_1;56-52 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/56-52.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/56-52.jpg;Archives de la Ville de Montréal
VM165-1_1;56-56 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/56-56.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/56-56.jpg;Archives de la Ville de Montréal
VM165-1_1;56-60 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/56-60.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/56-60.jpg;Archives de la Ville de Montréal
VM165-1_1;56-64 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/56-64.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/56-64.jpg;Archives de la Ville de Montréal
VM165-1_1;56-68 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/56-68.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/56-68.jpg;Archives de la Ville de Montréal
VM165-1_1;56-72 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/56-72.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/56-72.jpg;Archives de la Ville de Montréal
VM165-1_1;60-40 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/60-40.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/60-40.jpg;Archives de la Ville de Montréal
VM165-1_1;60-44 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/60-44.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/60-44.jpg;Archives de la Ville de Montréal
VM165-1_1;60-52 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/60-52.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/60-52.jpg;Archives de la Ville de Montréal
VM165-1_1;60-56 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/60-56.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/60-56.jpg;Archives de la Ville de Montréal
VM165-1_1;60-60 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/60-60.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/60-60.jpg;Archives de la Ville de Montréal
VM165-1_1;60-64 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/60-64.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/60-64.jpg;Archives de la Ville de Montréal
VM165-1_1;60-68 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/60-68.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/60-68.jpg;Archives de la Ville de Montréal
VM165-1_1;60-72 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/60-72.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/60-72.jpg;Archives de la Ville de Montréal
VM165-1_1;64-56 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/64-56.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/64-56.jpg;Archives de la Ville de Montréal
VM165-1_1;64-60 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/64-60.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/64-60.jpg;Archives de la Ville de Montréal
VM165-1_1;64-64 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/64-64.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/64-64.jpg;Archives de la Ville de Montréal
